1a - gcc,,
m,misprediction_rate,
7,26.65%,
8,22.43%,
9,18.49%,
10,15.67%,
11,13.65%,
12,12.47%,
13,11.72%,
14,11.37%,
15,11.30%,
16,11.21%,
17,11.19%,
18,11.17%,
19,11.17%,
20,11.17%,
,,
1b - jpeg,,
m,misprediction_rate,
7,7.92%,
8,7.79%,
9,7.74%,
10,7.70%,
11,7.62%,
12,7.60%,
13,7.59%,
14,7.59%,
15,7.59%,
16,7.59%,
17,7.59%,
18,7.59%,
19,7.59%,
20,7.59%,
,,
1a - perl,,
m,misprediction_rate,
7,21.31%,
8,16.45%,
9,14.14%,
10,11.95%,
11,11.05%,
12,9.09%,
13,8.92%,
14,8.82%,
15,8.82%,
16,8.83%,
17,8.83%,
18,8.83%,
19,8.83%,
20,8.83%,
,,
,,
,,
m,n,misprediction_rate
7,0,26.65%
7,1,27.71%
7,2,28.98%
7,3,29.98%
7,4,30.76%
7,5,31.90%
7,6,33.22%
7,7,33.84%
8,0,22.43%
8,1,23.27%
8,2,25.18%
8,3,25.96%
8,4,26.57%
8,5,27.35%
8,6,27.82%
8,7,29.59%
8,8,30.56%
9,0,18.49%
9,1,18.83%
9,2,20.25%
9,3,21.67%
9,4,22.43%
9,5,23.42%
9,6,24.14%
9,7,24.84%
9,8,26.08%
9,9,26.79%
10,0,15.67%
10,1,15.80%
10,2,16.39%
10,3,17.45%
10,4,17.99%
10,5,18.11%
10,6,19.36%
10,7,20.40%
10,8,21.10%
10,9,21.91%
10,10,22.77%
11,0,13.65%
11,1,13.64%
11,2,13.71%
11,3,14.29%
11,4,14.49%
11,5,14.67%
11,6,15.14%
11,7,15.78%
11,8,16.47%
11,9,17.28%
11,10,18.34%
11,11,18.93%
12,0,12.47%
12,1,12.04%
12,2,12.20%
12,3,12.09%
12,4,12.23%
12,5,12.50%
12,6,12.46%
12,7,12.70%
12,8,13.00%
12,9,13.74%
12,10,14.33%
12,11,14.83%
12,12,15.40%
13,0,11.72%
13,1,11.44%
13,2,11.11%
13,3,10.79%
13,4,10.57%
13,5,10.64%
13,6,10.59%
13,7,10.56%
13,8,11.00%
13,9,11.30%
13,10,11.68%
13,11,12.13%
13,12,12.68%
13,13,12.87%
14,0,11.37%
14,1,10.76%
14,2,10.42%
14,3,10.04%
14,4,9.69%
14,5,9.41%
14,6,9.08%
14,7,9.16%
14,8,9.34%
14,9,9.57%
14,10,9.83%
14,11,10.09%
14,12,10.48%
14,13,10.90%
14,14,11.13%
15,0,11.30%
15,1,10.58%
15,2,10.13%
15,3,9.64%
15,4,9.13%
15,5,8.75%
15,6,8.30%
15,7,8.20%
15,8,8.22%
15,9,8.23%
15,10,8.46%
15,11,8.75%
15,12,9.01%
15,13,9.20%
15,14,9.48%
15,15,9.85%
16,0,11.21%
16,1,10.52%
16,2,9.93%
16,3,9.34%
16,4,8.77%
16,5,8.42%
16,6,7.89%
16,7,7.58%
16,8,7.57%
16,9,7.49%
16,10,7.61%
16,11,7.72%
16,12,7.86%
16,13,8.08%
16,14,8.34%
16,15,8.56%
16,16,8.75%
17,0,11.19%
17,1,10.44%
17,2,9.87%
17,3,9.22%
17,4,8.60%
17,5,8.16%
17,6,7.56%
17,7,7.30%
17,8,7.13%
17,9,7.04%
17,10,7.11%
17,11,7.03%
17,12,7.16%
17,13,7.30%
17,14,7.38%
17,15,7.55%
17,16,7.74%
17,17,8.02%
18,0,11.17%
18,1,10.43%
18,2,9.82%
18,3,9.18%
18,4,8.52%
18,5,8.06%
18,6,7.45%
18,7,7.12%
18,8,6.91%
18,9,6.76%
18,10,6.73%
18,11,6.75%
18,12,6.78%
18,13,6.81%
18,14,6.90%
18,15,6.99%
18,16,7.15%
18,17,7.30%
18,18,7.49%
19,0,11.17%
19,1,10.42%
19,2,9.81%
19,3,9.13%
19,4,8.50%
19,5,7.99%
19,6,7.38%
19,7,7.05%
19,8,6.79%
19,9,6.61%
19,10,6.55%
19,11,6.50%
19,12,6.47%
19,13,6.50%
19,14,6.55%
19,15,6.66%
19,16,6.78%
19,17,6.90%
19,18,7.01%
19,19,7.18%
20,0,11.17%
20,1,10.42%
20,2,9.80%
20,3,9.12%
20,4,8.46%
20,5,7.96%
20,6,7.33%
20,7,6.97%
20,8,6.72%
20,9,6.53%
20,10,6.44%
20,11,6.37%
20,12,6.37%
20,13,6.40%
20,14,6.39%
20,15,6.45%
20,16,6.56%
20,17,6.65%
20,18,6.79%
20,19,6.91%
20,20,7.04%
